monthly_income_after_tax_and_401k,rent,groceries,entertainment,utilities,healthcare,other,savings
4206,1131,363,294,173,295,242,912
3718,1210,372,0,147,0,0,1047
3589,1662,420,163,119,366,362,244
4122,1479,343,178,151,412,195,524
4122,1109,337,173,177,377,148,233
3747,1473,299,297,168,315,314,240
3764,1425,399,173,158,296,186,740
4116,1279,260,181,288,14,248,1716
3276,1158,416,281,195,278,213,317
3296,1136,403,229,175,369,236,0
3641,1345,430,249,198,274,123,1250
4965,674,405,155,179,285,154,0
4155,1519,300,173,146,155,261,479
4738,1576,313,148,42,603,157,730
4429,1291,496,240,142,302,207,1099
2159,1528,400,261,130,343,170,623
3990,1218,308,170,79,349,239,499
3499,1157,514,182,70,329,183,1197
3991,1520,220,184,111,175,194,510
3856,1616,377,284,166,316,31,65
4161,1693,523,166,138,324,179,596
3586,1367,413,239,184,414,243,443
4260,1472,373,156,202,374,197,442
4766,1362,317,205,146,421,147,1176
3946,1581,499,135,134,200,237,0
4201,1387,392,314,128,569,0,876
4345,1985,437,172,163,333,212,679
3799,1073,443,139,133,413,82,146
4112,1254,377,240,42,280,254,680
4006,1463,434,242,122,226,273,1211
4049,1445,370,152,152,140,203,861
3613,1480,350,313,200,336,58,335
4012,1324,458,202,128,289,186,940
4249,1170,392,109,150,257,175,86
4726,1288,426,130,165,391,194,926
4480,1309,421,264,190,291,242,1412
3591,1348,432,147,185,300,173,86
3616,689,322,263,172,390,194,900
4436,1247,477,133,162,519,216,199
4092,1282,384,398,236,256,224,595
5095,852,358,184,171,212,217,0
3596,1467,421,191,159,201,158,955
2237,1333,459,293,186,348,252,83
3700,1877,467,137,231,191,210,458
2938,1197,383,230,226,263,107,808
3737,993,415,228,47,271,147,765
3620,1134,422,368,149,456,193,874
2657,1165,431,146,110,419,219,671
4171,1920,356,169,147,146,240,794
4938,1371,491,241,115,458,285,1697
4475,1044,446,190,154,178,195,921
1783,1615,283,358,129,316,368,240
3551,1148,460,248,174,217,139,425
2335,1273,427,187,135,261,210,274
3340,1143,349,155,171,202,218,480
4916,90,393,60,82,468,244,1197
4590,959,317,219,301,286,244,75
3765,1388,421,184,147,323,214,0
3143,804,392,182,137,193,218,0
4677,891,398,154,95,158,210,266
3943,1535,460,236,110,256,194,605
4619,1218,377,182,55,352,218,1329
3203,1739,387,162,111,288,177,483
5416,1093,401,136,179,397,138,955
4003,1731,308,220,137,312,161,828
4023,1408,387,175,150,301,333,901
3775,1394,276,99,167,354,224,1068
4311,1249,371,140,182,693,248,450
3466,1170,443,188,106,394,314,381
3929,1346,240,190,109,356,387,406
4060,1575,370,188,142,391,150,1210
4257,1453,402,181,186,372,176,993
4356,1174,346,126,151,436,260,717
5322,1102,400,156,185,383,247,1982
3233,1161,547,259,100,475,97,374
4639,1045,492,252,133,246,147,246
4166,1329,403,229,152,147,374,56
3626,1463,408,224,118,162,199,733
4776,1286,351,245,115,395,213,109
5377,2140,360,144,126,306,304,1161
3209,1655,418,202,138,785,184,388
4034,1362,374,144,116,468,111,338
5030,1440,445,145,187,380,240,1170
4878,1120,478,218,156,259,143,436
3876,1228,417,247,159,191,294,295
4486,1554,405,190,159,354,238,660
4323,1184,316,282,132,271,379,395
4684,1597,247,211,211,366,168,1076
3518,1523,343,161,142,249,218,1025
4343,1450,379,146,166,207,251,1655
4529,1065,623,251,141,276,281,480
3121,1238,451,206,85,350,233,266
3408,1429,377,234,192,312,155,29
2980,1103,380,67,150,219,122,560
3865,1262,365,212,178,480,239,1066
4359,1450,340,174,140,286,171,99
4751,1861,368,130,264,74,149,16
4037,1131,319,197,123,754,216,1771
4814,1684,434,255,118,299,183,94
3310,1223,420,313,168,283,197,264
3148,1455,300,212,184,281,191,0
3972,1125,192,165,170,282,270,0
4192,1304,340,162,182,467,246,540
3984,1810,289,248,44,346,162,1113
2966,1167,403,150,148,326,196,440
5569,1468,393,231,103,274,220,0
3348,1628,386,215,114,473,163,479
4335,1501,486,209,194,384,255,0
4183,1161,421,0,139,399,17,188
3530,1698,499,0,206,328,98,558
3743,1500,463,127,242,400,93,502
3470,1209,485,171,143,339,224,603
3969,1145,346,246,143,263,285,1012
4478,2274,430,262,180,337,133,651
3507,1335,378,211,146,130,185,254
4252,1130,317,171,151,52,118,878
3735,734,475,279,159,427,217,0
3604,1219,274,171,110,419,184,559
3946,1135,347,143,153,356,321,1101
3482,1503,379,235,149,466,251,280
3723,1456,360,223,164,83,231,332
3401,1947,365,173,180,116,261,1141
4982,1465,389,205,143,73,166,860
4018,1117,487,222,165,33,224,643
5274,1179,367,210,109,311,0,934
4107,1592,483,223,210,475,162,232
5426,1322,442,175,196,320,238,1438
3890,1006,420,226,140,469,282,1188
4307,1343,437,201,153,0,296,523
4379,1431,401,176,85,362,187,835
3735,1405,464,188,238,306,233,920
3712,1112,428,195,128,449,190,932
3862,1677,317,128,101,274,169,1022
2849,1000,415,168,160,204,318,6
3242,1322,439,203,123,0,156,706
4683,1647,386,132,119,258,185,1419
4822,1418,406,342,173,235,258,1006
2475,1467,205,319,199,231,103,753
2302,1089,331,144,88,412,325,343
4156,1369,322,181,188,441,170,782
5539,1293,323,4,140,339,183,811
4560,1606,433,194,168,235,133,928
3936,1473,275,159,157,242,201,903
3522,1136,367,188,164,93,72,111
3197,1160,362,164,122,338,163,503
4102,1387,386,253,77,232,183,626
3622,1271,307,204,192,447,169,346
3289,1334,420,150,142,162,256,598
3677,1259,336,242,94,241,219,228
3459,1583,457,152,150,290,254,212
4844,1115,369,0,161,347,102,415
4441,1207,395,200,57,480,284,114
3996,1396,400,295,158,163,210,314
4740,1102,412,238,153,270,182,1572
4039,1737,402,133,140,0,146,156
3569,1328,564,238,155,379,56,213
4762,1473,417,42,145,235,262,776
6091,1500,423,231,156,290,195,273
3481,1318,362,158,162,283,202,208
3905,1166,315,207,106,312,146,112
3562,1355,460,287,135,284,118,539
3309,1413,435,140,170,203,89,419
4463,1352,447,251,163,308,203,869
4955,1547,409,234,187,221,165,845
3301,1644,353,126,156,381,254,877
4281,1161,470,228,180,306,310,414
3675,850,573,204,83,196,227,121
3756,1005,447,402,118,541,174,243
3704,1192,539,22,183,466,215,1224
2133,1154,449,182,160,544,209,0
4024,1482,341,204,118,266,207,1051
3585,1263,362,212,156,216,211,933
4135,1449,514,237,182,381,193,730
3975,1331,389,124,113,411,213,234
3881,1460,524,265,158,320,176,785
1819,1538,352,142,120,90,162,122
3712,1223,478,238,126,202,368,375
4378,2510,425,204,123,342,244,755
4250,692,361,136,76,234,177,423
3511,1257,350,226,139,163,257,140
2780,1158,254,153,178,274,222,362
4376,1409,402,253,134,342,219,875
3165,1242,442,164,228,240,155,837
4272,1284,427,125,331,616,241,924
3669,1259,387,277,204,331,182,1118
4285,1254,373,209,128,355,58,749
2518,1332,392,243,159,338,238,331
3098,1210,372,157,132,390,240,1015
3186,637,393,0,131,283,176,357
5376,2138,401,284,160,154,115,1276
4130,1241,355,200,118,304,126,1138
3548,702,432,225,93,520,195,0
4319,1122,381,111,108,491,297,667
3169,1211,358,183,158,358,158,127
3967,1053,382,211,207,159,117,135
3394,1671,412,280,178,368,197,225
3674,1575,404,198,147,171,271,0
2621,1419,421,247,173,271,115,606
3570,1730,445,100,148,244,191,437
3808,1454,465,256,182,414,245,982
4503,1266,414,124,63,359,242,803
3712,1375,468,250,78,218,208,537
4418,1572,387,220,131,284,181,281
3435,1124,350,195,170,433,220,387
4265,1561,485,195,174,449,260,812
4721,1381,499,187,136,163,171,571
2764,1183,433,159,86,206,245,248
3602,848,443,190,156,424,239,537
4289,1051,413,310,104,318,193,1146
3898,1238,418,265,125,291,139,648
4186,1310,320,156,192,245,160,1076
3698,1316,396,213,136,175,282,0
4043,1701,356,205,129,334,277,654
3922,1258,414,34,146,283,219,538
4584,621,397,150,177,343,323,264
4127,975,497,222,143,346,204,691
4169,1294,446,396,194,552,139,964
3794,1367,414,158,122,420,129,602
3756,1025,387,298,215,355,30,96
3784,1113,484,276,164,86,222,742
4197,1398,399,227,129,339,176,1115
3790,1191,417,138,62,458,170,626
4145,1279,402,100,219,257,200,597
6054,1408,380,214,112,519,291,497
4436,1707,402,226,160,354,294,834
3837,1256,302,280,178,329,217,435
4601,965,323,191,130,201,393,2300
3796,908,417,302,150,450,243,998
4796,1330,478,220,81,217,223,843
3496,1233,417,330,83,0,145,690
3065,1194,364,320,120,112,231,417
2465,1432,328,388,121,390,174,484
4009,763,439,177,144,359,167,840
4838,895,372,204,137,301,227,343
4163,982,432,232,113,582,287,521
3890,1444,419,192,197,365,220,708
4415,973,424,207,154,263,187,845
2894,1450,402,159,162,222,188,359
4118,1325,419,116,133,128,235,451
4385,476,394,205,148,282,190,912
3261,1284,368,207,87,169,190,670
4572,737,352,226,117,316,171,482
4169,1065,281,171,271,284,172,0
3792,1308,391,133,288,260,255,791
4316,1072,476,152,136,405,208,1025
5135,1333,437,129,162,201,174,1081
4091,1429,411,167,98,115,205,1331
2544,1333,252,373,138,277,227,588
3770,1422,450,184,150,226,153,664
3575,1160,394,318,174,312,221,209
4415,1288,479,165,126,209,231,631
2498,1252,351,156,151,342,288,323
4036,1239,363,270,143,203,221,699
3761,1721,512,234,161,202,130,93
4239,1214,326,262,243,362,233,872
4167,1077,353,272,149,295,214,376
4519,961,405,83,160,181,207,827
4920,1160,364,217,132,205,261,497
3865,1425,207,171,134,578,223,529
3511,1347,454,256,21,476,237,207
3778,1049,316,163,171,54,165,245
4189,1219,429,147,146,275,224,836
4378,1438,402,281,5,208,178,1062
3539,1210,506,185,126,647,178,511
4435,1016,450,246,138,198,181,1219
4678,2215,375,373,142,425,132,1175
4207,1267,365,140,163,278,185,731
4938,1067,475,308,135,234,388,251
3613,1334,140,44,116,354,363,631
5267,1283,410,239,151,303,278,974
3111,992,393,264,275,376,202,632
4748,1319,383,271,194,387,182,542
4327,1497,418,154,263,352,167,341
3972,1253,409,241,170,248,267,0
4140,888,423,159,167,304,170,668
5046,1368,407,186,123,291,205,709
5223,1421,421,196,152,435,237,1416
4065,1183,405,136,180,114,141,209
4055,1184,367,182,193,461,185,593
6313,1752,400,246,148,371,211,259
4241,1168,364,236,138,315,195,1328
4112,1076,192,410,122,157,221,468
3605,692,383,250,150,133,204,43
4236,1415,394,220,185,244,72,656
4941,1406,402,216,135,364,29,830
4673,806,446,213,170,299,224,402
4797,1168,375,169,185,358,199,709
3744,1531,410,149,138,154,204,180
3505,1365,406,166,145,304,218,330
3937,1053,370,184,188,410,143,370
4028,1548,404,167,243,98,85,1687
4547,1493,450,221,271,175,250,1189
3154,1241,409,210,90,265,24,473
4765,1476,411,215,185,266,208,635
3921,1700,183,218,116,237,208,1066
3787,1089,498,136,259,391,212,1007
3494,945,368,200,139,587,77,403
3173,1697,317,250,112,189,275,1216
6410,1431,443,226,136,342,153,740
4037,1149,268,256,146,330,270,495
3355,1348,385,281,168,121,153,692
3352,1574,373,229,147,433,221,548
3832,1097,494,205,93,337,178,375
4835,1294,418,205,141,86,159,586
3870,1251,427,337,150,156,445,340
4620,1174,220,175,170,193,12,727
3877,1348,414,245,178,225,129,516
3864,1280,470,152,21,286,272,753
2652,1429,387,281,128,279,45,466
3973,1528,465,192,126,118,278,247
3885,1045,258,343,238,139,133,394
4348,1314,572,165,101,411,263,1130
4924,718,405,213,165,145,219,685
4563,1341,424,182,229,399,182,224
3866,1297,381,160,176,576,171,475
4746,1104,401,391,179,205,95,708
5287,1591,393,145,66,363,139,1937
4030,1676,370,166,110,199,140,453
4007,1409,459,229,141,361,24,468
2130,1420,329,237,171,348,151,365
4099,1326,391,130,112,275,177,885
3928,1494,444,229,52,273,211,1370
3713,811,311,206,111,123,166,466
3727,1299,389,154,135,222,0,485
3984,1185,392,161,210,356,264,126
3728,1329,420,263,199,581,189,87
5642,1519,351,286,49,462,46,863
4053,1304,402,251,197,421,171,250
3873,1228,268,136,170,255,192,0
4752,1019,363,240,142,273,210,361
2675,1278,356,171,23,835,200,72
4546,1434,446,246,140,81,212,653
4623,1132,315,175,141,307,307,109
4593,899,424,182,138,319,248,512
3829,1755,440,316,147,315,228,755
3814,1367,389,167,37,298,256,488
3296,1256,246,270,111,193,179,465
3611,1578,458,245,109,260,282,115
3445,1328,365,205,163,156,126,730
4876,1566,370,251,121,372,226,847
4468,1549,375,119,156,287,268,614
4636,1609,458,139,151,378,129,791
4361,1392,465,224,160,173,205,582
5231,2333,330,237,140,442,174,1009
3738,1100,450,214,117,820,133,827
4245,1103,333,106,202,143,211,474
3389,1137,478,147,129,612,183,353
4356,1478,419,221,208,260,256,406
3880,1357,398,321,110,156,197,308
3813,913,457,261,120,274,147,233
4355,1368,435,279,96,115,0,631
4222,1250,512,217,152,253,176,499
5601,1754,448,217,170,129,273,815
4580,1133,408,148,106,377,218,875
3459,1370,341,248,151,498,342,621
4308,1510,371,196,138,231,298,1204
4297,1172,328,235,88,468,215,662
3845,964,389,202,147,340,179,484
4163,1239,446,214,178,219,184,656
3374,1451,400,196,194,181,396,724
4462,1216,451,211,100,397,163,1577
3908,1000,417,250,181,390,354,716
3739,1453,380,137,103,249,215,629
4525,1583,404,125,31,174,208,1153
3648,1304,424,221,98,339,109,376
3296,979,407,100,160,359,86,463
3222,1236,408,285,99,263,169,581
4303,1330,362,139,249,190,2,301
3360,1138,185,180,132,302,164,48
4877,1417,513,126,124,346,192,1033
2959,1119,461,11,158,251,101,154
4848,1305,326,256,219,326,231,1198
4106,1254,282,199,194,336,197,464
2596,1423,404,181,150,415,223,346
3728,1297,445,227,277,258,377,0
4200,532,374,160,255,186,161,806
3981,1139,451,280,141,0,219,794
4552,1307,403,200,198,469,268,921
4057,1778,392,180,159,124,163,931
4075,1126,438,229,166,69,250,0
3818,1332,373,247,162,289,265,92
3972,1373,386,280,148,262,206,70
4154,1232,434,190,119,279,192,456
3145,1486,398,254,124,275,187,195
3326,1353,495,205,159,401,206,612
4372,466,435,169,253,296,317,646
4085,1567,431,161,114,382,168,791
3908,1453,398,145,129,52,227,783
4009,1500,444,163,134,247,218,0
4174,1380,257,256,122,218,253,984
3730,832,414,235,88,72,198,411
3611,1519,354,0,111,310,217,875
5672,1312,318,113,149,290,161,0
3511,1371,415,144,167,253,171,729
4204,1408,499,271,129,287,197,664
3149,1687,520,185,164,310,118,955
4515,1191,315,259,153,401,181,750
4236,1196,403,173,171,364,223,1027
4128,1130,353,284,199,333,260,0
6324,1086,445,116,124,531,173,956
4833,1090,411,183,136,229,64,345
4507,930,427,239,113,164,201,516
3080,1385,486,242,300,417,173,434
3360,1698,359,183,137,487,182,242
3688,1710,354,250,157,236,238,780
4013,1130,388,241,169,438,310,962
4259,1246,441,166,193,247,213,225
3637,1547,428,216,105,48,253,631
4093,1386,355,235,178,364,133,0
3622,1327,338,169,92,237,218,889
3694,1249,340,285,116,485,276,581
1609,1536,358,158,143,782,255,225
3538,1085,394,207,149,198,190,1110
3324,1396,542,138,196,0,249,602
3512,1369,444,205,151,391,216,1494
3506,1309,414,147,236,112,131,143
4862,749,488,185,156,303,159,249
5316,1307,388,121,184,368,236,1237
4247,1193,394,240,128,367,372,527
4092,1319,461,55,101,309,125,1078
3571,982,395,68,153,263,211,178
4350,1423,475,183,153,143,170,1174
3712,823,427,257,145,240,65,532
5205,1169,441,202,199,352,194,795
5280,1121,459,206,175,296,112,133
3952,1176,446,306,93,419,373,1053
5808,1287,448,176,135,413,194,1138
3648,1343,304,261,165,409,317,762
3983,1623,367,224,163,246,229,46
4885,1598,371,171,183,329,216,627
3687,1466,358,251,195,203,264,535
6812,1324,487,148,162,174,179,127
