monthly_income_after_tax_and_401k,rent,groceries,utilities,transportation,personal_care,healthcare_and_insurance,debt_payments,investments_and_savings,dining_and_going_out,other
4173,1608,343,149,225,67,611,538,683,186,190
3660,886,443,169,229,122,581,106,620,393,352
4116,1435,349,153,349,130,601,284,457,119,230
4147,1095,609,126,75,70,351,111,531,260,218
3643,1290,474,136,60,101,417,290,553,241,463
4933,1413,408,173,196,97,398,237,358,159,396
4237,979,356,153,276,134,387,1,424,114,104
3404,1328,393,211,170,113,459,341,197,112,276
4328,1344,419,43,159,121,379,237,212,172,462
3513,1592,419,201,412,14,467,432,574,312,204
4394,2426,406,144,356,112,436,247,406,190,315
3423,989,432,133,224,126,630,198,569,89,388
3590,2010,450,103,337,169,484,365,507,218,461
6439,1292,376,154,262,84,672,297,435,0,308
4206,1138,470,137,370,89,654,386,613,239,566
4411,1374,416,154,236,78,759,317,584,282,334
4948,1040,289,205,285,87,490,161,295,195,179
3877,1051,391,146,271,141,266,330,199,22,376
3623,953,391,181,244,75,354,209,256,242,318
3555,1409,454,144,314,112,582,13,600,124,466
3592,1365,371,162,306,130,652,240,78,238,307
3961,1137,407,260,272,136,418,279,177,265,405
4171,1605,329,158,111,144,511,694,383,280,273
4138,1955,358,146,166,114,443,373,1033,264,225
6192,768,440,194,185,111,240,245,277,177,384
2270,1324,339,169,272,83,669,0,403,191,0
4727,1165,448,153,252,41,367,568,554,232,375
3868,1277,457,177,198,82,509,313,518,261,171
5360,1049,462,154,193,105,536,418,222,126,446
4313,1343,477,184,306,130,570,330,508,481,24
3571,1306,439,115,200,145,435,643,437,64,259
3465,1405,421,214,69,100,448,316,528,44,304
4241,1476,616,155,266,134,652,322,313,76,433
3888,1323,404,27,0,223,0,47,540,239,363
4357,1005,197,172,311,106,513,405,470,247,385
4237,1486,598,189,198,91,199,465,1104,0,67
3964,1303,422,119,237,172,466,204,381,158,332
3577,921,444,136,275,83,673,322,290,236,112
3243,1362,242,180,90,83,503,181,215,150,796
3777,2021,394,167,209,80,648,467,594,176,395
4428,671,279,137,196,126,641,317,71,137,343
4107,1260,394,143,388,74,611,298,160,249,208
3377,576,542,112,215,77,356,404,409,156,330
4087,1383,497,47,253,73,499,277,314,229,187
5883,1328,400,100,267,94,617,292,192,207,734
3558,1118,393,140,300,74,623,589,853,320,314
4077,1624,422,170,292,69,515,315,495,205,369
4029,1167,379,142,343,90,526,0,435,293,138
3429,759,378,183,326,107,404,41,550,261,442
4179,1206,402,131,358,107,247,201,444,116,286
4280,1506,381,105,345,91,422,316,86,309,447
4542,1259,409,185,215,84,674,281,350,180,46
4527,973,419,247,230,118,379,330,435,241,387
3311,1094,241,187,236,112,528,317,491,258,533
3531,1084,304,140,127,105,575,309,447,0,395
4258,1185,358,198,527,11,436,226,489,140,409
2834,1248,414,118,313,140,458,355,318,199,325
4258,1399,361,141,113,61,464,329,400,169,182
5926,1326,516,162,98,83,497,364,489,462,249
4285,1335,344,136,352,70,554,96,741,78,320
4568,1656,498,157,293,100,558,282,260,198,202
4477,1472,445,187,345,80,399,199,496,68,428
6249,1455,321,161,141,103,637,234,232,119,230
3842,937,342,145,269,116,493,253,313,322,149
4379,1150,374,187,145,138,266,396,551,327,403
3614,981,340,165,324,106,135,176,450,151,372
3882,1146,454,150,259,106,466,166,687,237,109
2684,1459,392,148,248,113,428,293,272,236,328
4041,1221,410,139,322,31,386,223,316,302,375
5157,1514,469,175,250,102,487,0,0,218,329
3066,1439,496,176,247,67,632,256,510,121,270
4343,1310,386,188,148,190,558,237,155,139,0
3194,1519,332,163,358,96,407,0,370,230,312
1961,1573,341,134,66,129,677,207,220,63,302
4544,1391,457,160,296,153,584,263,0,71,380
4032,1346,413,133,155,107,396,154,456,516,353
2246,1427,355,155,361,103,404,361,476,398,127
3642,1019,435,275,269,113,216,212,309,153,192
4340,1276,346,105,385,167,833,345,250,188,385
3635,1295,311,177,331,147,609,0,630,194,394
4108,521,476,149,73,109,351,404,694,218,224
4023,1142,328,177,314,117,497,530,29,0,183
3674,1500,458,131,324,99,523,446,409,192,436
5072,1334,390,106,130,123,527,550,309,260,439
2993,1352,398,158,271,174,449,258,443,157,223
2987,1585,409,211,240,113,530,244,391,201,169
4093,1750,349,204,252,80,567,251,505,278,194
3669,1222,376,199,360,107,335,340,588,198,255
4426,1572,381,129,365,141,498,155,447,85,446
3604,1002,353,171,241,117,288,314,409,29,669
3943,1310,376,91,195,103,353,131,177,114,358
4252,1152,394,160,349,13,358,293,464,289,313
4433,1359,388,54,323,112,398,413,844,180,343
3400,1414,422,120,269,97,543,245,558,226,239
3833,1426,376,155,181,68,449,389,135,140,472
3763,1505,477,122,128,98,588,133,451,107,172
3673,1249,348,176,310,164,514,238,298,400,82
4883,1262,373,156,384,100,521,178,509,192,367
4202,1405,292,195,210,122,602,491,39,240,326
3370,1478,431,104,76,94,383,259,304,147,312
4459,463,207,124,213,93,518,235,652,128,167
5061,1363,395,135,216,89,507,617,342,202,289
4516,1221,440,165,199,107,486,301,307,154,293
3240,1317,320,158,303,116,627,263,336,207,184
3758,1229,396,163,179,74,548,181,120,40,0
4633,1155,326,131,140,116,439,435,160,97,371
3646,1096,359,93,179,132,422,409,580,161,184
4222,1270,404,127,358,125,486,333,407,115,244
4387,1372,389,192,206,195,606,328,475,428,270
3537,1179,343,131,287,78,562,322,435,214,289
2451,1538,461,155,227,112,530,254,444,220,216
2379,1792,383,152,235,147,427,243,394,118,424
3488,1383,427,156,353,133,458,459,306,148,357
3874,1292,475,110,259,138,275,363,491,162,248
3376,1118,366,175,375,45,582,167,428,286,305
6599,1374,431,147,395,41,552,550,234,94,337
3285,1595,421,219,369,85,764,349,493,174,270
3780,1690,331,139,211,13,525,337,635,233,215
5904,1579,460,179,263,89,613,649,454,27,277
4721,1469,405,138,361,94,544,151,308,75,269
3282,1382,373,208,310,56,500,332,437,95,324
4582,1090,319,172,337,82,545,412,515,186,390
4005,1280,336,111,344,73,549,149,239,166,243
3509,1257,395,192,164,154,501,474,326,270,158
4231,1281,333,173,176,78,556,333,404,34,273
4100,1156,616,136,246,67,648,311,352,169,285
3700,1452,381,102,202,28,515,205,427,288,299
4035,1245,322,121,242,142,613,236,611,82,204
3807,1229,262,202,266,96,621,262,178,191,244
4057,1157,347,184,258,79,539,157,194,256,144
4331,1346,339,176,206,96,593,269,23,306,437
4793,1599,289,280,155,175,310,211,436,106,208
3381,1298,405,111,136,103,458,368,0,228,424
5067,1356,352,142,387,78,495,0,228,203,458
1440,1687,494,96,557,130,145,275,534,122,389
3924,1541,450,173,276,82,580,203,204,108,340
4294,1418,482,162,36,93,433,300,409,105,322
4140,1409,436,108,189,152,365,535,461,478,218
5092,1179,564,203,288,162,499,260,271,288,228
3896,1160,416,152,314,134,383,251,147,205,526
3753,1328,385,145,227,80,444,281,279,137,518
3705,1333,417,143,292,87,371,216,547,242,382
4425,435,445,167,243,77,646,285,0,109,445
4179,1441,430,128,335,182,517,374,598,224,328
5600,1245,400,171,247,116,450,169,256,263,485
4450,1525,503,290,245,44,416,457,11,188,314
4154,1289,411,70,0,69,450,391,578,155,337
4406,1271,455,148,307,103,652,387,913,161,366
4315,1671,376,156,281,97,351,338,365,273,335
3586,1134,581,172,163,13,472,210,443,196,164
3720,1564,375,166,279,58,520,401,200,324,355
4374,1354,407,97,264,82,398,268,235,63,464
4305,1791,432,153,322,85,407,0,340,105,611
3990,1620,415,142,243,0,396,308,552,206,296
4059,1036,397,182,0,75,711,184,0,234,118
4639,1434,454,114,216,94,556,239,440,5,229
4951,982,360,150,554,221,597,371,547,305,194
4274,1212,325,176,234,127,463,288,521,129,462
3899,468,416,173,327,69,549,296,274,201,248
3891,2167,543,145,147,89,603,417,284,281,372
4549,922,392,185,280,0,535,359,478,334,164
4413,1254,334,128,135,94,507,412,378,185,290
2604,1068,410,172,255,13,437,315,383,401,374
4653,338,490,177,194,65,421,293,95,207,240
4011,1575,333,109,181,114,640,672,398,327,383
4341,1564,392,189,172,91,473,364,517,174,538
2233,1233,404,101,234,101,492,403,345,188,466
4162,1645,378,77,0,102,755,276,13,288,341
3935,1687,408,136,142,82,473,287,58,261,151
4048,1723,378,180,257,123,801,85,302,199,477
4298,672,408,160,119,86,521,90,667,122,471
3591,1342,387,204,136,105,345,290,160,397,469
5046,1376,373,184,384,103,447,350,469,180,177
3497,647,396,154,368,108,434,251,145,205,190
3393,1385,424,186,188,132,424,220,490,56,139
4579,1113,212,266,275,78,634,285,259,158,398
4396,925,435,117,188,12,420,242,220,267,389
4312,1443,364,136,191,99,430,597,308,189,369
4314,1230,431,147,15,91,490,253,301,399,391
3994,1105,367,57,365,115,422,456,388,222,282
3551,1130,436,192,292,65,469,186,512,156,0
4038,1603,398,147,306,142,460,383,583,328,258
3661,1890,186,179,290,143,469,241,691,384,373
4488,996,378,155,235,81,363,333,0,497,215
3926,1063,460,104,214,97,568,365,363,210,391
4964,1242,403,152,247,46,535,453,423,186,400
3839,1395,377,146,360,80,223,339,750,77,290
4206,1141,457,129,252,243,521,260,60,227,201
3718,1265,443,138,396,118,77,694,439,230,328
3589,1323,358,151,192,27,490,492,0,114,322
4122,1327,200,76,138,85,312,316,399,206,513
4122,821,312,161,181,97,548,169,328,284,273
2745,1344,444,168,238,98,394,262,228,179,390
3764,953,400,165,354,58,482,259,299,224,332
4116,1243,290,142,214,104,267,60,246,0,351
3276,1200,303,209,141,123,679,178,417,337,256
3296,1084,386,165,251,153,587,249,333,150,155
3641,1469,578,137,342,107,292,321,425,178,345
3893,1075,294,113,250,96,434,272,207,219,377
4155,1195,433,109,265,96,474,309,457,185,68
4738,1476,384,274,248,111,464,315,640,272,233
4429,1190,312,172,234,123,636,527,441,172,157
2473,1148,374,154,430,132,582,207,558,157,394
3990,1246,423,148,349,36,536,380,359,270,403
3499,1408,354,140,556,132,434,246,353,0,282
3991,1589,398,165,466,64,442,299,498,104,241
5132,1768,378,127,346,71,504,179,367,218,292
4161,1129,300,149,215,94,585,304,559,263,310
3586,1710,233,153,316,220,541,319,383,264,72
4260,832,440,167,186,61,435,304,433,0,429
4766,1146,457,125,290,82,474,222,325,164,270
3946,1438,400,120,224,109,554,413,207,265,198
4201,1117,424,151,353,114,529,358,381,0,220
3241,920,319,156,154,28,385,286,364,182,303
3799,1406,412,150,261,211,412,285,318,234,461
4112,1430,384,69,606,134,600,226,472,205,355
4006,1509,396,95,242,103,328,238,1014,237,157
4049,902,344,227,297,98,553,446,580,187,419
3613,1167,456,178,299,76,571,264,380,243,208
4012,1250,317,91,292,8,356,576,314,244,352
3174,1651,538,138,236,59,314,184,276,0,317
4726,1268,354,144,220,142,437,337,721,260,130
4480,1031,324,140,402,98,867,323,594,274,287
5077,1359,435,113,147,122,478,304,407,164,359
3616,1562,399,123,353,260,165,141,96,168,292
4436,1519,349,295,291,167,779,163,0,502,464
4092,1412,445,172,263,133,521,320,533,347,441
5095,1353,237,147,199,89,480,198,0,217,303
3596,846,419,178,260,124,107,421,230,163,372
3580,1305,426,130,258,100,783,278,0,311,0
2353,1336,423,140,217,72,541,546,404,312,442
2938,1268,312,139,329,73,506,296,407,306,220
3737,1441,372,103,165,126,391,293,976,129,345
3620,1265,570,142,182,122,546,452,205,119,34
4075,1226,367,199,333,137,427,408,0,135,281
4171,1508,358,196,363,93,412,315,393,284,272
4938,1217,348,154,271,87,487,367,207,179,0
4475,1313,387,143,176,67,544,417,262,155,298
3712,1480,456,203,349,50,543,240,625,409,266
1936,1098,486,143,266,75,773,145,435,236,243
4246,1076,386,134,259,80,544,355,435,148,269
3340,1572,368,179,366,66,460,425,508,162,306
4916,1181,466,99,313,85,704,129,491,177,626
4590,1438,422,147,222,157,473,0,424,269,438
3765,945,273,148,132,79,464,276,0,0,220
3143,799,345,165,226,45,661,202,251,201,353
4677,1373,472,132,286,105,407,286,453,173,334
3943,1274,405,145,298,119,459,499,627,246,232
4619,1375,400,153,158,0,669,268,45,0,419
3203,1675,427,142,201,44,590,370,522,333,270
3700,1053,256,144,0,154,440,93,212,361,357
4003,1308,474,112,276,93,684,195,461,316,313
4023,1595,451,167,121,122,638,440,365,218,391
3775,1081,372,166,216,128,478,218,337,244,325
4311,1183,404,101,183,112,488,40,413,144,266
3466,947,371,163,300,127,551,317,481,216,494
3929,1748,494,125,479,116,419,293,572,399,457
4060,859,364,210,488,72,436,315,296,293,101
4257,1460,394,150,262,33,462,306,475,121,349
4356,1036,519,144,301,106,466,427,447,230,265
1600,1090,425,196,273,93,721,230,461,206,613
3233,1513,434,186,0,51,655,291,385,239,171
4639,1151,440,143,423,94,383,257,478,334,412
4166,1430,435,115,290,31,488,368,684,132,326
3626,1576,378,97,334,109,303,378,426,185,99
4776,1340,373,119,196,133,445,337,375,116,416
4058,1478,402,160,180,76,475,515,366,216,263
4590,1316,372,146,210,38,419,355,432,208,323
4034,1325,367,122,217,88,386,425,385,356,661
5030,1173,379,67,226,124,465,211,647,136,546
4878,1686,375,202,245,140,381,230,226,268,385
3876,1449,477,184,389,82,529,498,606,3,177
4486,1404,388,203,223,118,513,402,335,345,219
4323,1454,297,129,251,67,314,377,389,202,244
4684,1165,370,174,151,100,536,429,493,210,379
3518,1486,444,171,396,15,392,418,320,183,197
4343,1611,322,194,193,90,503,140,308,68,433
4529,1024,430,150,237,110,383,265,271,155,418
3121,1408,427,127,240,86,303,49,291,211,310
4592,1313,401,123,237,58,516,374,426,301,250
2980,1196,398,150,244,102,545,299,701,171,213
3865,1081,355,152,404,86,344,230,813,177,279
4359,1510,435,158,120,75,486,273,523,179,237
4751,1342,415,108,291,79,575,238,233,272,352
4037,546,376,189,107,93,767,176,238,189,481
4814,1408,361,109,284,150,593,270,521,167,223
1885,1275,340,189,230,60,634,485,112,213,462
3148,1159,419,140,341,77,565,272,389,280,364
3972,1326,390,205,246,120,387,540,571,102,174
4192,1294,391,98,272,63,484,264,370,256,249
3984,945,322,185,200,74,661,473,370,226,223
2966,1174,345,119,199,153,496,141,513,230,203
3955,1047,340,117,316,152,613,91,373,201,414
3348,970,438,200,342,118,449,68,549,202,241
4335,1394,264,173,333,110,460,0,305,253,340
4183,1166,386,106,296,82,348,319,580,84,276
3530,2092,292,156,275,100,670,209,398,139,485
3743,934,448,192,142,77,391,177,199,73,0
2078,1240,619,167,207,146,485,362,440,336,410
3969,1177,388,151,196,104,458,482,189,294,379
4478,984,329,185,255,215,474,261,403,37,169
3507,1301,485,161,308,183,375,358,254,227,245
5765,1002,426,100,225,81,392,348,140,184,112
5544,547,427,153,63,115,433,317,102,456,0
3604,1999,434,165,345,0,589,231,523,225,154
3946,1354,697,157,183,187,538,199,234,189,300
3482,1379,395,138,187,87,404,220,477,195,285
3723,1506,472,164,298,125,749,282,469,514,616
3401,1295,357,156,211,155,439,258,597,155,433
4982,1135,311,185,252,16,358,185,469,171,33
2464,1178,489,110,275,87,404,279,80,249,237
3650,1183,203,159,261,43,534,236,547,264,192
4107,1091,304,172,231,33,415,356,362,222,360
5790,872,428,127,259,136,592,261,617,164,389
3890,1405,389,172,424,110,306,384,435,75,317
4307,967,442,165,347,146,567,612,499,78,251
4379,1135,377,144,480,91,412,250,525,185,517
3735,1082,519,228,286,108,611,284,280,212,0
2194,1363,405,162,611,65,388,0,1033,174,408
5466,1515,440,176,323,93,533,317,459,121,248
2849,1390,350,178,355,77,599,336,505,110,277
3242,1160,341,119,357,82,412,255,424,212,220
4683,1236,335,198,308,104,450,276,882,302,390
4822,1021,335,194,62,77,420,311,227,144,298
3875,517,434,176,233,127,566,0,391,198,129
4288,1469,370,169,146,107,581,355,522,426,98
4156,1589,336,174,252,107,254,205,392,245,740
5539,1157,365,184,173,122,156,271,469,191,205
4560,1310,435,154,284,100,482,232,0,274,828
3936,1444,434,139,241,68,495,375,558,209,353
2085,967,450,167,180,146,611,795,513,209,533
3197,1090,386,149,184,90,152,289,452,136,315
4102,1699,500,196,258,71,399,290,577,137,150
3622,1108,454,196,262,144,495,296,422,234,228
3289,1228,341,177,148,238,681,298,551,217,13
3677,1179,441,112,224,17,539,400,395,351,363
3459,901,401,117,325,72,377,601,338,118,150
4844,1317,392,111,59,94,412,283,439,274,432
4441,1295,400,156,232,108,526,357,223,210,265
5819,1336,367,178,83,120,416,0,574,127,302
4740,1283,450,141,300,176,392,224,574,0,308
4039,1208,371,131,234,67,525,198,674,152,438
3569,1197,372,153,221,5,607,434,388,162,355
4762,1200,438,126,296,56,420,763,424,162,169
4269,1102,509,158,471,12,392,262,863,268,171
3481,1133,236,143,383,150,449,321,342,166,89
3905,1106,338,130,297,16,501,376,436,220,231
3562,1415,457,153,311,57,572,420,446,95,196
3309,1361,410,177,256,123,578,78,21,229,338
4463,1305,425,104,391,124,659,105,251,103,185
4955,1688,402,155,208,75,520,432,556,251,284
3301,1115,430,87,164,125,325,190,441,273,60
4281,1524,418,142,3,243,122,108,125,0,265
3675,1248,374,171,230,117,407,426,0,344,411
3756,1331,435,181,240,144,356,255,410,166,387
3704,1434,425,134,398,110,614,665,272,227,387
3568,1204,381,134,191,0,374,492,484,257,295
4024,1089,391,143,245,30,602,485,0,149,529
3585,1122,361,234,128,125,705,0,482,147,271
4135,879,545,155,392,52,394,380,411,168,360
3975,1421,424,120,76,108,497,249,391,234,474
3881,1417,398,167,261,96,524,235,659,244,166
3546,1617,343,128,149,84,621,337,265,305,97
3712,1383,299,140,0,66,564,23,0,293,280
4378,1431,388,165,184,44,506,723,139,292,179
4250,1284,412,169,167,84,498,432,273,266,406
3511,1393,432,168,38,82,415,280,691,260,443
4050,1518,457,158,154,128,594,336,536,170,342
4376,1336,227,117,328,134,565,254,220,158,426
3165,1690,321,149,350,74,600,347,263,0,57
4272,1256,374,145,374,74,478,442,461,305,254
3669,1450,509,137,135,83,536,341,371,204,169
4285,1202,657,152,191,134,573,288,215,225,226
3618,1478,421,124,214,80,379,431,211,0,366
3098,2451,378,149,208,159,629,259,268,151,306
3186,1480,395,141,566,104,567,262,0,26,315
4024,750,486,136,274,113,368,234,273,225,301
4130,1370,410,0,180,86,631,143,422,150,336
1624,1145,381,224,0,149,528,214,426,191,331
4319,1126,568,190,248,113,726,306,97,348,211
3169,591,303,153,237,86,491,323,390,182,435
3967,1411,350,204,195,60,586,203,297,209,484
3394,1222,360,206,167,121,476,249,449,200,286
3674,1294,450,187,306,81,508,111,538,216,378
4024,1384,372,112,401,95,598,757,483,290,255
3570,1132,311,192,303,72,322,447,210,386,179
3808,1200,365,146,268,72,426,228,421,311,287
6142,1365,376,142,186,82,483,314,552,218,353
3712,1242,397,137,288,98,415,212,323,289,300
4418,1261,406,139,196,64,535,402,0,88,101
3435,1093,321,162,292,92,845,364,513,199,142
4265,1263,384,219,191,78,404,169,214,147,212
4721,1630,371,101,258,96,500,203,603,157,330
2764,531,402,208,246,127,604,293,345,467,294
3602,1071,412,195,204,106,524,438,553,302,303
4289,1492,370,145,226,2,405,0,248,100,78
3898,618,315,135,202,99,532,431,348,187,378
4186,1343,376,110,338,118,450,639,470,151,198
3698,1036,440,214,197,121,518,217,580,250,493
4043,1065,396,132,245,106,335,258,0,283,260
3922,993,645,147,93,154,565,363,445,218,322
4584,1386,425,149,198,73,593,384,451,290,301
4127,1504,374,173,298,116,366,393,220,286,379
4169,1393,473,284,286,98,298,321,535,125,4
3794,1690,357,157,283,131,417,345,49,149,322
3756,1212,316,149,248,100,579,526,470,204,323
3784,1235,417,184,269,163,544,541,113,393,168
4197,1321,361,175,358,204,348,305,404,206,452
3790,1254,397,163,460,122,631,123,342,307,681
4145,1400,346,138,342,94,72,313,337,169,435
5038,1172,400,183,459,110,511,555,453,198,682
4436,1021,424,175,273,82,680,174,862,198,307
3837,942,432,143,186,113,295,312,474,163,136
4601,1396,343,92,314,41,375,196,501,252,298
3796,1195,332,153,153,84,598,338,0,103,385
2981,1066,420,129,175,79,405,359,644,0,344
3496,1176,381,172,242,157,662,353,229,180,161
3065,1691,372,156,191,78,414,399,453,241,344
3824,1078,394,100,197,85,559,347,535,0,210
4009,1445,391,159,241,77,526,56,502,374,105
4838,1384,419,201,156,112,489,429,541,200,250
4163,1568,424,145,260,90,538,256,218,206,366
3890,1275,449,83,278,86,525,286,386,0,169
4415,988,387,140,132,164,556,264,0,247,414
2894,1499,450,152,268,105,651,225,349,277,268
4118,1250,429,196,265,120,570,270,528,215,284
4385,1555,444,182,283,112,613,383,458,224,244
3261,1463,345,133,259,75,471,373,411,218,387
